Region,FWB_X,Division,Value
NORTHEAST,1_1,1,3.01863354
NORTHEAST,1_1,2,2.969047619
NORTHEAST,1_2,1,3.139751553
NORTHEAST,1_2,2,3.157142857
NORTHEAST,1_3,1,2.51863354
NORTHEAST,1_3,2,2.610714286
NORTHEAST,1_4,1,3.211180124
NORTHEAST,1_4,2,3.205952381
NORTHEAST,1_5,1,2.636645963
NORTHEAST,1_5,2,2.823809524
NORTHEAST,1_6,1,3.145962733
NORTHEAST,1_6,2,3.135714286
NORTHEAST,2_1,1,2.257763975
NORTHEAST,2_1,2,2.410714286
NORTHEAST,2_2,1,3.406832298
NORTHEAST,2_2,2,3.305952381
NORTHEAST,2_3,1,1.99378882
NORTHEAST,2_3,2,2.103571429
NORTHEAST,2_4,1,2.692546584
NORTHEAST,2_4,2,2.779761905
MIDWEST,1_1,3,2.956043956
MIDWEST,1_1,4,3.07173913
MIDWEST,1_2,3,3.205794206
MIDWEST,1_2,4,3.234782609
MIDWEST,1_3,3,2.51048951
MIDWEST,1_3,4,2.582608696
MIDWEST,1_4,3,3.287712288
MIDWEST,1_4,4,3.273913043
MIDWEST,1_5,3,2.791208791
MIDWEST,1_5,4,2.734782609
MIDWEST,1_6,3,3.04995005
MIDWEST,1_6,4,3.12173913
MIDWEST,2_1,3,2.361638362
MIDWEST,2_1,4,2.239130435
MIDWEST,2_2,3,3.397602398
MIDWEST,2_2,4,3.4
MIDWEST,2_3,3,2.022977023
MIDWEST,2_3,4,1.984782609
MIDWEST,2_4,3,2.694305694
MIDWEST,2_4,4,2.732608696
SOUTH,1_1,5,3.114197531
SOUTH,1_1,6,2.974025974
SOUTH,1_1,7,3.010719755
SOUTH,1_2,5,3.214506173
SOUTH,1_2,6,3.113636364
SOUTH,1_2,7,3.189892802
SOUTH,1_3,5,2.467592593
SOUTH,1_3,6,2.574675325
SOUTH,1_3,7,2.549770291
SOUTH,1_4,5,3.285493827
SOUTH,1_4,6,3.266233766
SOUTH,1_4,7,3.284839204
SOUTH,1_5,5,2.763117284
SOUTH,1_5,6,2.850649351
SOUTH,1_5,7,2.80704441
SOUTH,1_6,5,3.049382716
SOUTH,1_6,6,3.100649351
SOUTH,1_6,7,3.105666156
SOUTH,2_1,5,2.287808642
SOUTH,2_1,6,2.318181818
SOUTH,2_1,7,2.41194487
SOUTH,2_2,5,3.428240741
SOUTH,2_2,6,3.321428571
SOUTH,2_2,7,3.344563553
SOUTH,2_3,5,2.043981481
SOUTH,2_3,6,2.029220779
SOUTH,2_3,7,2.084226646
SOUTH,2_4,5,2.654320988
SOUTH,2_4,6,2.63961039
SOUTH,2_4,7,2.678407351
WEST,1_1,8,3.066098081
WEST,1_1,9,3.153110048
WEST,1_2,8,3.181236674
WEST,1_2,9,3.204784689
WEST,1_3,8,2.511727079
WEST,1_3,9,2.532057416
WEST,1_4,8,3.375266525
WEST,1_4,9,3.342583732
WEST,1_5,8,2.837953092
WEST,1_5,9,2.703349282
WEST,1_6,8,3.029850746
WEST,1_6,9,3.014354067
WEST,2_1,8,2.373134328
WEST,2_1,9,2.318660287
WEST,2_2,8,3.324093817
WEST,2_2,9,3.460287081
WEST,2_3,8,1.946695096
WEST,2_3,9,1.990430622
WEST,2_4,8,2.639658849
WEST,2_4,9,2.670813397
